Test Name	Expected	Status	Time
FlightBooking	Found already opened FlightGui application, attempting to close it	PASS	6/22/2017 10:49:33 AM
FlightBooking	Application successfully launched	PASS	6/22/2017 10:49:39 AM
FlightBooking	UserName entered as john	PASS	6/22/2017 10:49:48 AM
FlightBooking	Password entered as hp	PASS	6/22/2017 10:49:57 AM
FlightBooking	successfully clicked Login button	PASS	6/22/2017 10:49:57 AM
FlightBooking	Frankfurt is selected for fromCity dropdown	PASS	6/22/2017 10:49:58 AM
FlightBooking	London is selected for ToCity dropdown	PASS	6/22/2017 10:49:58 AM
FlightBooking	Economy is selected for Classtype dropdown	PASS	6/22/2017 10:49:58 AM
FlightBooking	1 is selected for Tickets dropdown	PASS	6/22/2017 10:49:59 AM
FlightBooking	successfully clicked FindFlight button	PASS	6/22/2017 10:49:59 AM
FlightBooking	In flightno grid, successfully clicked on row:1 & col:1	PASS	6/22/2017 10:49:59 AM
FlightBooking	successfully clicked SelectFlight button	PASS	6/22/2017 10:50:00 AM
FlightBooking	PassengerName entered as KishoreB	PASS	6/22/2017 10:50:04 AM
FlightBooking	successfully clicked Order button	PASS	6/22/2017 10:50:05 AM
